50_epsilon,,5_epsilon,,2_epsilon,,epsilon,,05_epsilon,,02_epsilon,,002_epsilon,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.613814249979825,0.36859543249319615,16.743322843540717,0.3857531653058811,55.22270636649721,0.24316648917287909,87.95287662390061,0.3647497337593185,87.59985475671752,0.6543604307182583,97.68619381909141,0.8398414388829726,113.06786088921166,0.9827239379955036
2.0172678124747847,0.30292273103774714,18.760590656015502,0.3283635072772455,62.73702896796579,0.17394391196308134,98.64439603001696,0.30351437699680517,99.7034616315662,0.6126493906046623,109.68893730331638,0.8209087681931133,126.68441862341646,0.978878239261626
2.4207213749697374,0.2236421725239618,21.48390220285645,0.25914093006744776,70.65480513192932,0.11241273222103898,109.53764221738078,0.24760383386581486,113.57217784233038,0.5644302449414271,120.17872992818528,0.8052301502780737,141.46090534979425,0.9776949473435097
3.3284918905834004,0.1257247662998463,24.509803921568626,0.18843923796000484,78.77430807714035,0.06182700272157149,121.84297587347697,0.19021417583717914,128.14693778746067,0.5141403384214887,131.82845154522715,0.7874807715063308,156.03566529492454,0.9738492486096321
3.8832405390139613,0.057981303987693966,27.535705640280803,0.13016211099278208,89.11280561607362,0.018341024730801125,135.0560800451868,0.13430363270618872,140.80529331073996,0.47331676724647986,146.50407488098122,0.7638149331440067,168.89574759945128,0.9720743107324578
5.59791817961753,0.014791148976452728,31.217219398047284,0.07218080700508822,102.12418300653596,0.0008874689385873769,146.40321149035748,0.0946633534492961,158.05293310739935,0.41947698497219277,159.36415718550793,0.7448822624541476,182.76446381021546,0.9708910188143416
8.674251593641578,0,35.302186718308725,0.02691989113714377,118.21189381102235,0,159.46502057613168,0.05472725121287425,169.0470426853869,0.38516151934682297,171.87121762285165,0.7253579458052302,194.36375373194548,0.9688202579576383
19.970951343500353,0.0002958229795291256,43.522553054143465,0.0005916459590582512,141.81392721697733,0,174.19107560719763,0.023665838362324054,169.0470426853869,0.38516151934682297,185.33648027112082,0.705241983197255,205.20656822399744,0.9658620281623478
33.63794077301703,-0.0002958229795289036,53.45759703058179,0,160.9275397401759,0,188.6649721617042,0.005028990651994025,182.56273702896797,0.34729617796710455,198.85217461470185,0.6848301976097504,218.6718308722666,0.9643829132647025
48.061405632211724,0,68.99055918663763,0,180.5454692164932,-0.0002958229795289036,204.34922940369566,0,192.19519083353507,0.3188971719323159,211.10707657548616,0.6670808188380075,230.8258694424272,0.961128860489883
61.627531671104656,-0.0005916459590580292,84.77567981925282,0,198.39828935689505,0,220.08391834099896,0,204.34922940369566,0.2860608212045913,225.3288146534334,0.646373210270974,242.02170580166225,0.960833037510354
74.79020414750264,-0.0002958229795289036,101.61986605341727,0,218.06665052852415,-0.0002958229795289036,234.5073832001937,0,213.93125151295087,0.26209915986273835,240.6096183329299,0.6253697787244115,249.98991366093762,0.9590580996331797
89.7684176551279,0,116.79980634229003,0,238.18889695796017,0,249.98991366093762,0,227.54780924715564,0.22896698615548472,249.98991366093762,0.6120577446456041,,
111.90793189703865,0.0002958229795291256,136.66989429516664,0,250.0403453562495,0,,,238.89494069232634,0.20175127203881205,249.98991366093762,0.6120577446456041,,
131.07197611554912,0.0008874689385873769,156.9434358105382,0,,,,,250.0403453562495,0.17571884984025565,,,,
150.58904220124265,0.0005916459590582512,179.03251835713712,0,,,,,,,,,,
170.7617203259905,0.0002958229795291256,197.69224562252882,0,,,,,,,,,,
191.53957879448075,0,217.31017509884614,0.0008874689385873769,,,,,,,,,,
216.45283627854437,0,235.4151537158073,-0.0002958229795289036,,,,,,,,,,
234.5073832001937,0,249.93948196562573,-0.0002958229795289036,,,,,,,,,,
249.98991366093762,0,,,,,,,,,,,,
